论文题目,来源期刊,作者,摘要
算力基础设施对实数融合的影响效应与内在机制,经济学动态,李先军; 关靖琪,算力基础设施是支撑数字经济发展的底座，是数字经济时代构筑国家竞争优势的基础力量。促进实体经济和数字经济深度融合，势必要强化经济系统发展的数字根基，而算力基础设施可能对实数融合水平产生重要影响，探究其影响效应及内在机制具有理论价值和现实意义。本文系统剖析了算力基础设施的基础设施属性、网络特征以及数字平台功能，分析算力基础设施对实数融合的影响效应及机制，最后利用2010—2023 年城市面板数据进行实证检验。研究发现：第一，算力基础设施对实数融合有显著的促进作用，且从成本节约、网络效应和平台赋能三个维度促进要素跨区域流动、提升资源配置效率和推动产业数字化智能化升级。第二，算力基础设施对实数融合的边际效应表现出技术偏向特征，其作用强度取决于城市的资源禀赋与技术吸收能力。第三，算力基础设施建设对于经济高质量发展具有显著的促进效应，通过空间协同实现跨行政边界赋能，通过效率提升驱动生产方式低碳转型，并通过数字红利促使城乡收入差距趋于收敛。本研究不仅丰富了数字基础设施赋能实数融合的理论内涵，也为优化算力资源布局、推动区域协调发展提供了经验启示。
突破边界：数据要素共享如何促进产学研跨区域合作创新,经济学动态,杨 艳 张剑宇 曲天天,深化产学研跨区域合作创新是打破行政壁垒对创新资源要素流动束缚、提升国家创新体系整体效能的重要动力。本文构建了一个包含数据要素共享的产学研合作创新演化博弈模型，并以省级公共数据开放平台上线为准自然实验，探讨数据要素共享对产学研跨区域合作创新的促进作用。研究发现，本地公共数据开放显著促进了异地企业与本地学研机构之间的合作创新，其核心作用机制在于数据要素共享一方面降低企业在寻求合作过程中所面临的信息成本，另一方面提升学研机构研发成果的潜在技术资产收益，共同增强二者参与合作的动力。调节效应分析表明，更高水平的技术市场、更高质量的公共数据、更健全的数据治理和更完善的数字基础设施能增强公共数据开放的合作创新效应。此外，二元边际分析显示，产学研跨区域合作创新主要沿着扩展边际增长；空间分析显示，近距离跨区域合作更频繁的结构变化使合作双方在地理距离上呈现出更小范围的特征。本文进一步丰富了数据要素对微观经济主体影响的理论和经验分析，对如何发挥数据要素在打破区域壁垒、构建全国一体化技术市场上的作用也有重要的政策含义。
税负压力与企业环境行为：基于增值税留抵制度及改革的微观实证,经济学动态,赵晓梦; 陈银娜; 王班班,深化税制改革是减轻企业税收负担、前瞻性激励企业进行环境治理的重要财税手段。本文以增值税留抵制度为背景，分阶段考察增值税留抵压力与增值税留抵退税政策冲击对企业环境行为的影响。研究发现，增值税留抵压力显著削弱了重污染企业的环境治理动机，期初留抵税额占现金流比重越高，重污染企业的排放强度越高；越容易形成留抵税额的企业，增值税留抵引致的资金压力对其环境治理的负向影响越显著。机制分析显示，现金流挤占效应、内部研发支出与外购技术费用的减少是增值税留抵压力影响重污染企业环境行为的主要途径，此时重污染企业更倾向于通过减产实现污染控制。进一步分析发现，2018年增值税留抵退税改革通过缓解企业现金流压力促进企业增加研发投资和环境投资，进而产生环境收益。不同行业在响应增值税留抵退税政策时存在异质性，重污染行业侧重增加环境投资以达到环境合规要求，非重污染行业则着重关注绿色创新。本文从税制设计视角出发，为深入探讨企业环境治理和精准实施增值税留抵改革提供了经验证据。
碳市场约束、低碳技术配置与集团公司减排,财经研究,罗志鹏; 胡欣怡; 罗良文,当前碳市场的监管对象以达到特定碳排放门槛的头部企业为主，而这些企业通常隶属于大型集团公司。为考察政策的溢出效应，本文首先手工整理出碳市场试点的受监管企业名单，并据此厘清其所属集团公司的关联网络；在此基础上，利用全国税收调查数据，实证检验了碳市场试点政策对集团公司整体的影响。研究发现：（1）碳市场试点政策促使受监管企业在维持总产出稳定的同时实现碳减排，进而降低了碳排放强度，这表明其碳减排主要由技术效应驱动，而非成本效应引发的产出收缩所致。（2）碳市场试点政策对受监管企业所属集团公司也会产生正外部性，促使集团内未受监管的子公司在保持碳排放不变的情况下扩大总产出，从而实现碳排放强度下降。（3）对技术效应的进一步研究表明，碳市场试点政策虽显著促进了受监管企业及其所属集团整体的低碳技术购买，却相对抑制了技术出售与自主研发的积极性。在年度履约期限紧迫、市场范围有限的条件下，企业短期内或倾向于“以购代研”，并存在将减排压力转嫁于集团外部的策略性动机。基于上述结论，本文从稳步扩大碳市场覆盖范围、提升政策效能、强化低碳技术研发与扩散激励机制三个方面提炼出相应的政策启示。
碳市场建设在债券市场的溢出效应：债券信用利差的视角,财经研究,胡珺; 李倩; 宋献中,碳排放权交易市场将企业碳排放权内化为有价生产要素，这可能对资本市场投资者的企业风险预期和资源配置产生重要影响。文章以2010—2024年我国公开发行企业债、公司债和中期票据的A股上市公司为样本，从债券信用利差视角考察了碳市场建设如何影响债券市场的信用风险定价。研究发现，碳市场建设在债券市场上产生了显著的溢出效应，碳市场控排企业的债券信用利差平均下降了约13.66%。区分债券类型后的结果表明，碳市场对公司债券信用利差的影响是非对称的，绿色低碳类债券的利差显著降低，其他类债券的利差则出现了显著增加，但绿色低碳债券利差的降低幅度明显高于其他债券的增加程度。机制检验表明，碳市场激励约束下的企业转型收益预期提升是公司债券信用利差总体降低的重要原因。异质性检验发现，当碳市场初始碳配额需支付对价或非履约主体交易更为活跃、企业所在地区或行业的碳风险暴露程度更高以及投资者对企业碳风险更为关注时，碳市场建设对公司债券信用利差的降低作用会更为明显。文章揭示了碳市场建设作用于债券市场定价的逻辑与机制，有助于从环保制度视角为提升我国资本市场的定价效率提供经验与启示。
监管一体化对上市公司绩效的影响——来自中央法规文本分析的证据,金融研究,何青; 姚天宇; 蒋东明,"基于我国2007年至2023年颁布的33万多条中央法规文件,本文运用潜在狄利克雷分配算法(LDA),同时结合大语言模型,提取并定义了99个监管议题,进而在中国上市公司年报文本基础上构建了企业层面的监管一体化程度指标。总体而言,上市公司的监管一体化程度在2013年后呈现出稳步提升的态势。实证结果表明,监管一体化显著提高了企业的经营绩效;在数字化转型水平较高的地区和非国有企业中,监管一体化的积极效应更为显著;机制分析表明,监管一体化降低了企业的经营成本和合规成本、减少了监管不一致性、提高了研发创新能力,从而提升了企业的经营绩效。本文研究对提高监管效率、推进全国统一大市场建设具有参考价值。"
深入理解和贯彻新发展理念,经济学动态,赵振华,新发展理念内涵十分丰富，是一个完整的理论体系，是习近平经济思想的重要组成部分，开拓了马克思主义政治经济学新境界。新发展理念的提出是一场深刻的术语革命，是对传统西方经济学范式的革命和理论超越，是对传统发展理念的革命，重构了全球发展话语体系。新发展理念是一个系统理论体系，具备系统理论体系的构成要素和基本要求，具有严密的逻辑自洽性，符合理论体系从实践中来、到实践中去的产生和形成路径。新发展理念是对马克思主义政治经济学的创新和发展，创造性地把马克思主义政治经济学的基本立场运用到新时代中国特色社会主义的伟大实践中，是运用马克思主义基本方法论解决新时代我国经济社会发展突出问题和矛盾的典范，创新和发展了马克思主义政治经济学一系列基本原理和基本观点。新发展理念是关系我国发展全局的一场深刻变革，必须完整、准确、全面贯彻。要深刻认识树立和贯彻落实新发展理念的重大意义，增强思想自觉和行动自觉；要坚持系统论，把新发展理念作为整体统一贯彻到经济社会发展全过程、各领域；必须更加注重共同富裕问题；要进一步全面深化改革，形成有利于贯彻落实新发展理念的体制机制。
消费补贴的价格传导与财政乘数效应,经济研究,邹红; 李胡建; 盛倩; 石启超,在全方位扩大内需的政策背景下，家电国补政策成为政府短期提振消费的重要手段，同时也深刻影响着市场价格传导与行业竞争格局。本文基于Salop竞争框架构建多企业定价博弈模型，刻画消费补贴如何通过降低家电商品实际支付价格、扩大补贴期市场规模并强化企业间竞争，影响价格传导与财政乘数效应。基于手工整理的16000余条家电国补覆盖商品，结合家电商品价格、品牌销量和企业财务数据，本文综合评估了家电国补政策的价格传导与财政乘数效应。研究发现，家电国补政策后消费者购买参与商品的价格平均下降约22%，超出名义补贴上限（20%），且消费者获得了全部补贴红利，存在价格下行现象。价格下行并非补贴的直接结果，而是通过加剧家电企业间价格竞争造成的。集中度较低行业、价格未触顶商品及新上市商品的价格反应更强。同时，家电国补政策显著提升了品牌销量和企业盈利，也加速了市场向头部品牌集中。在量价联动的基础上，本文进一步分析了家电国补政策的财政乘数效应，发现每1元财政补贴可带来1.2元—2.3元的消费增量。本文为进一步优化消费补贴政策设计，更好发挥扩大内需战略支点作用提供重要政策启示。
气候转型风险、供应链溢出与企业长期投资：来自碳市场冲击的证据,经济理论与经济管理,林枫金刚,现有文献主要关注气候转型风险对直接受冲击企业的影响，较少从供应链视角考察其对未纳入监管范围企业的传导效应。基于中国碳市场试点政策这一典型的气候转型风险来源，本文研究下游客户气候转型风险对上游供应商长期投资行为的影响。利用2011—2020年中国沪深A股上市公司数据，研究发现，在客户被纳入地方碳市场的控排企业后，其上游供应商的长期投资水平显著提高。机制分析表明，供应商投资增加并非源于供应链关系重构，而是由客户驱动的供应链向上传导所致。异质性分析表明，融资约束较弱、成长性较高以及外部监督较强的供应商，其投资反应更为显著；同时，当控排企业所在试点地区具有更大的处罚力度、更高的碳价格，或配额分配采用祖父法时，供应商的投资激励更强。本文从供应链视角拓展了气候转型风险的经济效应研究，并为全国统一碳市场建设及产业链供应链稳定提供了政策启示。
构建新时代人文经济学自主知识体系的探索：时代意义、思想溯源与理论内涵,经济学动态,蒙 剑 蔡翼飞 韩 笑 程 杰,人文经济学是以人民为中心、以实现人的全面发展为目标，统筹经济与社会、兼顾效率与公平、协调物质文明和精神文明发展的中国特色社会主义经济学理论，是立足中国式现代化实践、创造性运用“两个结合”产生的重大理论命题。本文从时代意义、思想溯源、理论内涵与研究展望四个层面，系统分析了人文经济学的理论定位与逻辑架构。本文认为，人文经济学将人界定为追求人与自身、人与他人（社会）、人与自然和谐统一的“全面人”，并把人文价值嵌入生产、分配、交换、消费全过程。生产环节以社会伦理规范塑造主体偏好与预期、以创新文化推动技术进步、以文化创意转化新产品和新价值；分配环节以初次分配、再分配与第三次分配确立公平正义的实现路径；交换环节以社会资本、市场规制与行业伦理降低交易成本、维护市场秩序；消费环节以偏好塑造、消费规制与消费公平引导真实需求、形成可持续的消费方式。这一理论超越了资本中心与工具理性逻辑的西方新古典经济学局限，丰富和拓展了马克思主义政治经济学的时代内涵，体现了经济学向人的全面发展的价值回归，为构建中国经济学自主知识体系开辟了新方向。
新增债务限额提前下达与地方政府预算执行进度治理,财贸经济,李珍珍 杨 柳 杨甜甜 李 明,预算是各级政府的财政收支计划，体现国家的战略与政策。预算执行进度反映国家战略与政策的执行情况，事关重大决策部署的贯彻落实效果。本文聚焦一般公共预算和政府性基金预算支出，以2018年底新增债务限额提前下达为例，探讨了规范资金下达时序对地方政府年度预算执行进度的治理作用。具体而言，本文使用2015—2022年地市两式预算的季度和月度支出执行数，利用强度差分模型研究发现，提前下达政策显著降低了地方政府在第四季度和12月份的支出占比。异质性分析表明，提前下达政策对一般公共预算的影响主要体现在财政压力小、融资约束低的地市；对政府性基金预算的影响则主要体现在财政压力大、融资约束高的地市。进一步分析发现，提前下达政策主要通过加快第一、二季度的支出进度来缓解大量资金集中在年底支出的问题。自上而下分配下达新增债务等收入，是我国预算管理制度的重要内容，本文的发现对于坚持和完善这一制度，推动财政政策质效提升有所启示。
数据安全与企业间数据共享——基于不完全契约视角,财经研究,任羽卓; 杨瑞龙; 王一兆,企业间的数据共享是充分发挥数据潜在价值、提升社会整体福利的有效途径，然而数据安全问题却阻碍了企业的数据共享行为。在不完全契约的理论框架下，文章聚焦合作方的机会主义行为，分析由其引致的数据安全问题如何影响企业间的数据共享行为，得到以下主要结论：（1）数据共享能够降低最终产品定价并提高产出水平，实现数据共享双方联合利润的最大化；（2）数据安全问题导致的数据敲竹杠会削弱企业数据共享激励，阻碍企业的数据共享，进而降低数据共享量；（3）即使在存在数据敲竹杠的情况下，当最终产品对数据依赖度较低、竞争较为激烈以及专业化优势足够高时，企业仍会选择数据共享。此外，文章还发现，企业可通过采用数字安全技术、建立关系契约以及构建复杂交易网络的方式缓解数据共享不足的问题。文章拓展了数据安全与数据共享的相关研究，从理论层面揭示了数据共享不足的原因并提出了相应的解决方案，这对促进数据共享以及数据流通具有启示意义。
数字金融的投资者福利效应——基于基金直播数据的识别,金融研究,宁炜; 庄园; 姜富伟,"本文利用支付宝基金直播数据、投资者观看直播数据和账户级交易数据,实证检验基金直播这一数字技术在金融领域的典型应用对投资者福利的影响及其微观机制。研究表明,投资者观看基金直播后,会表现出强烈的申购意愿,且其投资组合收益率会上升,组合波动率会下降,初步证明了基金直播可以改善投资者福利。同时,基金直播具备空间溢出效应和长周期效应。在横截面上,观看基金直播可显著提升投资者整体投资组合、以及组合中其他持有但未观看过直播的基金投资表现;在时间维度上,观看基金直播可提升投资者在未来3个月、6个月和12个月的投资收益率,并降低对应周期的收益率波动率。微观机制方面,本文发现基金直播具备显著投资者教育功能,观看基金直播可显著降低投资者业绩追逐、频繁交易、过度自信以及处置效应这四类典型的投资者行为偏差。本研究为数字技术发展改善投资者福利提供了经验证据,有助于在数字经济发展过程中更好落实以人民为中心的发展理念。"
数字金融发展与全国统一大市场建设：基于商品市场一体化的视角,财贸经济,谭 莹 万广华 张 勋,构建全国统一大市场是构建新发展格局的基础支撑，也是推动高质量发展的重要保障。数字经济尤其是数字金融在促进要素与商品流动方面发挥着不可忽视的作用。本文运用高度细化的微观商品价格数据，从商品市场一体化的视角系统考察数字金融发展对全国统一大市场建设的影响。研究发现，数字金融发展显著促进地区间商品价格收敛，整体上提升了商品市场一体化水平。进一步地，商品市场一体化的实现体现在两个方面：一是价格信号在空间上的传递机制；二是商品跨区域流通这一现实载体。从直接机制看，数字金融通过改善跨区域商品流通条件发挥作用，补齐低水平地区的交易短板，促进商品在地区间流动。从内在机制看，数字金融通过降低交易摩擦、强化价格信号在空间上的传递，其中数字支付通过降低搜寻成本与价格黏性缓解交易前的匹配摩擦，平台担保通过提升商业信用缓解交易中的契约摩擦，数字信贷通过支持小微企业创业缓解交易后的竞争与进入约束。然而，这一效应在城市群内部尤为显著，在较大区域间则相对有限。因此，建立跨区域协调发展机制是充分发挥数字金融积极作用、推动全国统一大市场建设的重要路径。
数字金融、居民绿色消费与环境库兹涅茨曲线拐点跨越,金融研究,吴鼎纹; 李建强; 张振堃; 王红建,"本文构建静态和动态消费决策模型,分析数字金融如何影响居民绿色消费决策,并基于新能源汽车交强险数据测度地区绿色消费水平,实证检验数字金融对绿色消费及环境库兹涅茨曲线的影响。研究发现,数字金融能够显著提升地区绿色消费水平,并加速环境库兹涅茨曲线拐点到来。进一步分析表明,该促进效应在人口结构年轻的地区更为突出;数字金融的覆盖广度、使用深度和数字支持服务程度均对绿色消费产生显著正向影响。机制检验显示,数字金融通过缓解居民流动性约束释放绿色消费需求,并借由需求端激励企业在生产端开展绿色创新,进而加速环境库兹涅茨曲线拐点跨越。经济后果检验表明,数字金融通过促进绿色消费显著遏制地区SO 2 和NO x 排放,并拉动经济增长,实现环境保护与经济发展的协同。本文研究证实了数字金融在激发绿色消费及促进发展方式转型中的重要作用,为构建兼顾生态保护与经济效率的新型增长范式提供了理论支撑与政策参考。"
数字贸易规则网络嵌入与企业出口产品组合调整,经济学动态,赵家章; 周凡煜,数字贸易规则网络的动态演进，已成为重塑全球贸易格局的重要驱动力，并对企业出口行为产生重要影响。本文构建了一个包含数字贸易规则网络的多产品异质性企业模型，基于中国企业出口数据，深入考察了企业嵌入数字贸易规则网络与出口产品组合调整的关系。研究发现：首先，中国企业嵌入全球数字贸易规则网络地位的提升能够显著促进企业出口产品组合调整。其次，机制分析表明，信息溢出与市场竞争是其中的重要作用机制；异质性分析表明，这种促进效应在出口数字产品、高技术产品企业、一般贸易企业，以及面向发展中国家、与中国贸易往来密切度较低国家出口的企业中更为明显。最后，企业嵌入该网络还具有出口产品质量升级效应，不同竞争策略企业嵌入网络对出口产品组合调整存在异质性影响。本文不仅为数字贸易规则网络的贸易效应提供了微观层面的理论解释与经验证据，还为拓展企业出口行为的研究边界提供了新的切入点，进而为提升中国企业的国际竞争力、促进贸易高质量发展提供了有益的借鉴与参考。
数字经济的网络效应如何改变货币政策对消费的影响,财贸经济,卢 垚 严匡穗 战明华,消费增速放缓已成为制约我国经济高质量发展的重要问题，增强宏观经济政策对消费的刺激作用势在必行。既有研究通常认为，货币政策可以通过利率、收入、信贷和财富等渠道影响居民消费，本文则进一步考察数字经济网络效应是否改变货币政策消费传导的时间分布和效果。从数字经济的网络效应这一新视角出发，本文构建了数字经济条件下家庭面对货币政策冲击的最优消费决策模型，并采用2011—2022年中国地级市层面的数据，实证检验了数字经济网络效应改变货币政策对消费传导的速度和效果。研究发现，货币政策冲击对居民消费具有显著影响，而数字经济网络效应进一步强化了消费对政策冲击的前期响应。机制检验表明，价格信息传播、消费从众行为和金融摩擦调节共同塑造了这一动态特征。进一步分析表明，这一影响在不同消费水平和区域特征下存在显著差异。本文拓展了货币政策对消费传导的传统观察视角，丰富了货币政策在数字经济环境下的传导理论，同时为在数字经济迅速发展的背景下，如何完善宏观经济调控以促进消费增长提供了政策依据。
数字知识流动与关键核心技术突破,经济理论与经济管理,董松柯,突破关键核心技术“卡脖子”难题，是实现高水平科技自立自强、保障国家安全的应有之义。关键核心技术突破依赖多种知识交叉融合，知识流动为此提供了必要支撑。然而，知识流动易受行政边界壁垒与地理距离制约，融合数字化“超地理”特征的数字知识则为打破知识流动障碍提供了核心动力。据此，本文结合数字发展与知识流动的双重特征，从城市对层面揭示数字知识流动对关键核心技术攻关的支撑效应与影响机制。研究发现，数字知识净流入水平越高，关键核心技术突破的可能性越大，且该效应因城市对特征与外部集聚政策不同而存在差异。机制分析表明，数字知识流动借助虹吸效应，推动要素在数字化冲击下进行配置重构：一方面，通过吸引配套的人才、资本等要素集聚以及优化低端技术过度重复而高端技术供给不足的技术结构，从集约边际赋能关键核心技术突破；另一方面，通过突破技术锁定、催生新原创性技术体系与降低现存技术同质化等方式拓展前沿技术要素供给，从广延边际推进关键核心技术攻关进程。基于政策协同视角，数字知识流动与知识产权保护的制度协同、数字核心产业与战略性新兴产业的行业协同均有助于为关键核心技术突破赋能。本文为理顺数字化背景下政府与市场关系提供了政策启示，也为解决“卡脖子”技术难题、实现高水平科技自立自强提供了经验参考。
数字生产力发展与居民福利效应：理论与证据,经济研究,柏培文; 马涵江,数字生产力作为新质生产力的核心驱动因素，科学评估其福利效应对实现民生改善与共同富裕目标具有重要意义。本文基于量化空间一般均衡模型，估计了2003—2019年232个城市数字生产率增长的福利效应。研究结果表明，数字生产率的提升为我国居民平均带来34.29%的福利增长。其中，数字部门生产率增长贡献28.59%，数字资本相对劳动生产率增长贡献8.96%。对福利效应进行渠道分解发现，物价下降贡献了68.4%的福利增长，而收入增长机制贡献相对有限。与此同时，福利效应呈现增长与分化并存的特征。在需求结构差异与劳动技能溢价影响下，福利分配倾向于高收入、高技能群体，短期内引致群体间福利分化。从长期来看，随着数字资本深化、数字消费便利普惠共享与数字成果公平分配，居民福利将逐步迈向均衡增长路径。
